FREQ,Frequency,L_MEASURE,Measure,L_POSITION,Balance sheet position,L_INSTR,Type of instruments,L_DENOM,Currency denomination,L_CURR_TYPE,Currency type of reporting country,L_PARENT_CTY,Parent country,L_REP_BANK_TYPE,Type of reporting institutions,L_REP_CTY,Reporting country,L_CP_SECTOR,Counterparty sector,L_CP_COUNTRY,Counterparty country,L_POS_TYPE,Position type,TIME_FORMAT,Time Format,COLLECTION,Collection Indicator,ORG_VISIBILITY,Organisation visibility,Series,1977-Q4,1978-Q1,1978-Q2,1978-Q3,1978-Q4,1979-Q1,1979-Q2,1979-Q3,1979-Q4,1980-Q1,1980-Q2,1980-Q3,1980-Q4,1981-Q1,1981-Q2,1981-Q3,1981-Q4,1982-Q1,1982-Q2,1982-Q3,1982-Q4,1983-Q1,1983-Q2,1983-Q3,1983-Q4,1984-Q1,1984-Q2,1984-Q3,1984-Q4,1985-Q1,1985-Q2,1985-Q3,1985-Q4,1986-Q1,1986-Q2,1986-Q3,1986-Q4,1987-Q1,1987-Q2,1987-Q3,1987-Q4,1988-Q1,1988-Q2,1988-Q3,1988-Q4,1989-Q1,1989-Q2,1989-Q3,1989-Q4,1990-Q1,1990-Q2,1990-Q3,1990-Q4,1991-Q1,1991-Q2,1991-Q3,1991-Q4,1992-Q1,1992-Q2,1992-Q3,1992-Q4,1993-Q1,1993-Q2,1993-Q3,1993-Q4,1994-Q1,1994-Q2,1994-Q3,1994-Q4,1995-Q1,1995-Q2,1995-Q3,1995-Q4,1996-Q1,1996-Q2,1996-Q3,1996-Q4,1997-Q1,1997-Q2,1997-Q3,1997-Q4,1998-Q1,1998-Q2,1998-Q3,1998-Q4,1999-Q1,1999-Q2,1999-Q3,1999-Q4,2000-Q1,2000-Q2,2000-Q3,2000-Q4,2001-Q1,2001-Q2,2001-Q3,2001-Q4,2002-Q1,2002-Q2,2002-Q3,2002-Q4,2003-Q1,2003-Q2,2003-Q3,2003-Q4,2004-Q1,2004-Q2,2004-Q3,2004-Q4,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,A,All instruments,CHF,Swiss franc,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A,All reporting countries,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:A:CHF:A:5J:A:5A:A:JP:N,139,133,173,170,233,315,492,558,665,587,643,617,748,793,711,673,501,437,505,597,774,4086,4333,4904,5752,5955,6231,5956,5516,5574,5908,10062,15087,18752,17036,19928,27442,33815,31972,32140,41155,36168,28941,27159,27390,22762,20872,20593,20399,19742,20686,25173,29189,24186,22191,23333,24636,21961,23243,22740,18495,16340,15507,15515,15687,16723,18244,18517,16936,20564,19904,19267,18449,17104,16354,16851,14742,11844,10745,10570,12949,9777,8766,8062,7275,5429,6315,5927,4715,3487,3271,3301,2824,2755,2076,2171,1720,1672,1896,1828,2091,2046,2635,2435,2227,2454,2268,1586,2241,2079,1858,1690,2524,2085,2516,2085,2092,2424,1858,2067,2146,2592,1977,1709,2512,2360,1061,4232,2469,2051,1606,1465,1634,1422.066,1370,1026,1057,1023.417,883.299,877.197,797.034,603.506,375.08,2234.112,4005.206,3480.191,3397.404,4194.282,3228.661,2701.868,2089.556,2035.967,2157.253,1969.601,1970.82,1837.209,4077.917,2206.999,2399.767,2558.465,2159.968,1825.864,2247.229,2373.991,1511.798,1126.218,1061.002,1301.888,1765.466,1693.421,2511.084,1553.788,2825.165,3408.462,2230.486,1627.49,2222.715,3741.825,3244.515,2637.618,2240.397,1681.076
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,A,All instruments,EUR,Euro,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A,All reporting countries,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:A:EUR:A:5J:A:5A:A:JP:N,521,634,566,761,768,1025,878,1130,994,927,943,1063,1016,1414,899,937,1007,954,830,1104,1002,2717,3345,3966,4377,5006,4028,3567,3831,4185,4166,5267,7575,8113,9353,10048,11751,15717,17382,18869,21643,19822,21710,23562,27682,27351,29187,35394,40734,40907,41696,52780,55438,47801,44705,45114,53064,50758,58074,56573,51455,52526,58765,63284,62946,60110,63684,63866,59358,60535,69884,64988,62555,61660,56614,53864,50792,51746,48434,50175,56442,48993,50704,51434,49977,46959,45516,50602,41550,41492,43409,46237,50762,58673,52253,55141,54880,49442,52805,56454,80408,89081,111221,91146,79335,78876,81131,85489,100252,74018,76645,75646,81870,79294,87292,81939,83698,83803,77823,78090,86507,94821,85603,73472,88040,70599,99379,97234,95034,81967,80357,92560,81062,84214.294,76580,68140,75407,91604.927,82502.729,95469.354,117859.351,126172.348,123205.07,145655.606,141475.07,129531.123,119991.337,115413.328,108340.852,106717.561,100156.013,103722.798,97934.369,102548.148,104019.657,110885.943,110902.864,97429.21,107617.466,102000.768,106305.909,116036.294,118815.288,112312.531,113973.972,133893.566,139806.608,135299.946,136015.377,142485.779,142224.488,155280.777,182518.973,189929.097,194482.725,180156.867,170520.3,172505.919,147083.02,136054.233,137467.175,131237.37
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,A,All instruments,GBP,Pound (sterling),A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A,All reporting countries,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:A:GBP:A:5J:A:5A:A:JP:N,129,141,121,135,135,155,159,160,144,125,155,135,128,330,297,473,644,626,355,389,327,468,484,427,684,834,691,691,732,1225,1217,1355,1591,1567,1969,2191,1725,2175,2539,3160,4900,5284,7308,8943,10599,8079,7713,10127,11520,11205,13818,16048,19307,15610,13476,16248,18384,16573,22534,20436,16649,16868,15466,14479,12728,12766,13586,14482,15011,17033,21116,17104,17500,16258,14128,15959,17304,19594,22088,19655,20134,25059,22388,24017,21172,16713,15810,14275,14659,15639,12363,12243,11558,10483,11912,12584,12673,11237,10157,11291,12594,11356,11322,12206,11893,14632,13249,13256,14189,11098,12762,12639,12045,12272,11781,11233,12709,10773,10885,13930,11533,15519,12385,8768,9652,9819,12264,7303,7399,5939,7490,9264,7742,7468.117,9580,12335,11407,11185.316,19081.589,17469.741,18540.686,15415.608,11840.938,9690.519,6744.599,11706.579,12829.56,12793.374,12610.678,10104.314,11509.089,9961.017,7982.328,8690.854,10989.586,9817.787,10491.793,13427.08,11753.828,12200.716,12139.746,12068.504,10873.719,10386.313,9789.709,9751.84,8938.488,7796.806,8425.095,8110.429,6350.881,5507.59,4487.581,4374.234,4722.107,7196.287,6892.583,5250.469,5459.105,3309.779,3679.776,3774.835
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,A,All instruments,JPY,Yen,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A,All reporting countries,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:A:JPY:A:5J:A:5A:A:JP:N,889,2416,2157,2604,2233,1996,1493,1383,1223,2150,4096,4122,3762,4809,3918,4041,4808,4480,4655,4097,4893,5672,5378,5416,7025,9015,12683,11878,15126,18749,22826,24592,36229,41463,50237,64310,81242,118350,129193,178389,233201,233600,232408,305137,280760,268040,257860,308683,319843,282103,297644,356288,352868,341148,323994,321446,396273,349452,328019,374086,328437,359042,326317,371665,351664,375431,361077,387329,405433,486417,506542,481823,471482,435885,407922,407072,405986,381154,423213,387399,370209,343333,317042,314442,428311,313931,294211,308371,322969,289908,292533,264266,271403,236174,232109,225734,213913,182650,242257,215867,239564,227153,255102,265674,276548,296737,305113,303410,349843,304440,323086,303817,307686,298871,286529,281219,270632,283103,286908,314325,331094,406697,326741,336098,329708,235711.5,283170,276675,244258,230098,239416,290492,302676,277042.053,265592,331540,343750,342307.976,328026.428,330691.568,302022.659,295222.892,272943.087,327488.559,323899.881,338486.811,363981.776,385473.175,415947.759,406255.016,396295.402,419636.108,431663.566,511644.192,536583.631,584529.002,522039.407,502517.867,477201.768,569130.986,539900.254,629770.689,646485.026,645064.662,596230.661,647846.673,674146.071,723803.932,626954.933,795857.438,793755.628,865804.215,785450.501,834480.766,758906.238,730117.274,618661.73,771467.508,767644.143,725865.592,749783.656,835842.38
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,A,All instruments,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A,All reporting countries,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:A:TO1:A:5J:A:5A:A:JP:N,29575,32960,32437,33962,38248,38908,39959,48149,49409,56391,60947,65019,69107,76111,73588,77374,81242,82205,75222,75585,77326,82045,80555,86642,106671,113929,110799,118022,119198,130129,128000,146867,167528,191296,210472,262636,331964,384560,445308,514631,608768,655712,669808,759473,804625,835728,791641,891201,938547,914010,932816,1021924,1054692,998401,978543,979977,1026757,933837,912229,951276,894669,893806,863025,916636,877919,886238,896299,926652,945331,1026853,1089656,1046158,1021581,970188,933245,929314,925773,911201,958277,903813,912381,788375,737568,733079,846893,660865,594515,610364,622904,562572,572674,546092,575894,549779,523147,512614,518081,462456,516686,512913,574071,574114,628356,607642,613320,633281,667726,667937,749099,631964,649098,636669,670796,633784,650360,651314,645233,638202,622724,641644,662716,795009,662482,655577,679147,615904,727936,735326,684348,669467,687474,794723,811611,791455,768706,837550,901107,969429,957282.992,1004382.18,1016626.061,972178.486,889469.107,996116.131,999546.325,1011178.102,1043936.307,1070043.226,1095314.8,1098399.352,1080147.092,1118201.336,1176315.065,1272947.283,1320103.312,1365777.773,1340514.451,1299439.585,1269114.405,1379500.943,1326164.74,1380468.971,1393460.684,1393919.548,1340381.466,1390207.002,1434919.477,1502141.027,1467034.177,1663386.167,1661527.712,1797754.541,1750369.389,1771166.702,1705706.333,1666497.803,1554452.179,1694067.077,1654893.582,1613276.625,1613786.387,1624667.498
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,A,All instruments,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",AT,Austria,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:A:TO1:A:5J:A:AT:A:JP:N,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,344,341,244,524,554,310,409,703,306,526,265,294,490,374,358,230,225,203,207,167.846,147.99,140.783,71.671,72.396,122.073,174.824,97.438,95.646,158.056,298.643,69.487,133.756,115.125,65.673,179.275,159.971,80.603,77.361,101.306,107.645,97.395,73.211,160.517,726.513,614.627,685.559,846.259,802.852,627.788,1013.355,837.162,1101.798,1162.789,1160.163,1586.65,1292.494,1365.085,1344.155,1237.371,1833.896,1761.008,1617.253,1723.571
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,A,All instruments,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",AU,Australia,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:A:TO1:A:5J:A:AU:A:JP:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1093,1232,858,775,978,772,453,283,458,919,649,917,1309,705,1066,1101,1219,1283,1276,891,2240,2300,2566,2880,3803,5956,4406,4196,5467,4918,3788,3519,2176,2086,2627,2492,2498,2697,3466,3852,4093,5076,3632,4196,7326,4979,5156,4111,4281,3756,4505,4700,3328,3673,3211,4986,4592,5446,6244.421,4823.564,5862.105,6345.753,7038.454,4917.503,5967.951,3729.039,7101.304,5098.22,10178.491,7685.967,9536.917,8992.951,15128.893,15669.77,14101.835,12370.19,15359.633,9882.591,9875.91,10945.387,17174.719,16923.165,18751.638,16521.001,15833.186,16677.203,19156.792,22330.979,24228.225,26863.276,24962.039,29372.594,34079.988,25397.881,23568.2,25425.274,24722.347,24352.055,31387.57,27197.544,28173.149,28503.818
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,A,All instruments,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",BE,Belgium,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:A:TO1:A:5J:A:BE:A:JP:N,731,1291,1435,1785,1925,2764,2409,2996,2631,2766,3085,3475,3597,4612,3749,4234,5014,5768,4342,4484,5493,5386,6120,6478,7783,8565,7472,8190,7652,7193,12106,14365,14489,15747,14618,21583,25358,25054,29562,30971,36143,34690,27228,32081,33247,32991,34053,34633,43420,36587,45299,33859,48238,44323,53597,43351,42537,37019,46043,41180,33780,40920,33812,32207,27345,22201,26483,30737,33179,39531,45563,35141,33391,44550,39430,41183,39322,33670,45210,44634,28547,24060,24128,24996,21850,13298,3054,3632,2908,2734,3961,1889,1751,1414,2009,1726,2137,1582,2127,1552,1625,6149,5431,4658,4045,4185,3362,2672,3501,3875,3476,3845,3666,4192,4421,4703,3207,3551,3297,2802,3299,2996,3684,4076,9305,7296,6821,8204,6653,3991,5005,9748,6124,6131,5539,6305,7034,7311,8915,8696,8042,7828,8696,12225,9272.821,8223.905,12540.401,9004.486,11297.588,10830.936,12904.474,9717.957,3961.926,11639.327,9346.881,15843.123,13344.729,13317.205,6889.57,4506.417,5411.524,4072.776,5903.044,6956.9,5828.643,6363.397,5415.882,6489.699,9182.522,6870.089,8374.6,9169.361,7230.402,8242.481,10720.983,8326.272,5847.816,12789.152,10275.593,9879.443,7599.668,12890.721
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,A,All instruments,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",BR,Brazil,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:A:TO1:A:5J:A:BR:A:JP:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,183,97,134,338,188,200,175,351,161,137,643,847,421,223,297,149,1138,1463,1413,634,449,344,200,296,239,759,273,191,188,256,215,194,1781,151,184,174,150,156,168,214,180,147,181,199,213,239,213,305,178,295,295,197,350,357,845,480,709,463,461,498,1037,729,367,528,426,419,494,443,470,371,483,435,403,543,433,494,258.207,218.244,214.855,246.042,291.847
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,A,All instruments,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",CA,Canada,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:A:TO1:A:5J:A:CA:A:JP:N,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,429,403,404,440,487,459,636,460,382,605,374,367,NaN,NaN,NaN,NaN,5673,7540,NaN,NaN,NaN,NaN,5229.504,NaN,7831.156,9361.556,8773.442,9500.117,9230.584,12238.168,12221.854,11620.533,12263.743,14050.861,15188.901,14599.223,14710.233,16466.498,16513.933,16269.236,20104.831,24786.519,25285.945,26177.553,26703.127,34966.036,23440.467,26284.843,26451.481,31262.336,23875.739,32465.584,30899.536,39809.847,32842.006,32158.833,27508.392,42937.167,41057.584,39784.673,41184.529,47345.906,40733.038
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,A,All instruments,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",CH,Switzerland,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:A:TO1:A:5J:A:CH:A:JP:N,367,375,506,685,971,909,1196,1357,1203,1018,949,1073,825,898,849,762,482,303,387,390,318,332,637,586,393,641,554,521,519,703,594,1019,841,1412,1324,1488,2279,2628,2918,3328,3977,5244,5751,5083,6039,4960,4349,4242,4986,4951,5320,6677,10488,9383,8396,8538,11545,9387,8612,8782,6564,6160,6441,5622,5756,6933,7025,7466,7395,12494,9679,8155,8297,7653,9227,9351,13137,10491,10320,12573,13876,14328,13261,23049,28809,27363,39988,22438,27038,21004,20112,20744,43301,45379,45254,39688,33613,15424,30251,23233,19916,7636,11577,12167,12071,19098,15308,16010,20821,17902,19501,18120,21442,21135,33623,28245,34278,34004,39717,46981,44081,43483,39331,35305,46117,28893,33016,22258,22592,21262,25528,8389,12821,4578,3795,3239,5318,4026,5712,4602,5483,3085,6503,9695.064,9287.762,9119.164,10752.667,10067.67,10208.82,10368.618,4525.771,4867.983,6456.158,4152.322,3565.32,4631.464,5842.706,3318.434,4560.506,5417.98,5056.072,6695.978,5269.821,6174.949,7623.027,7723.32,6781.613,6745.678,4573.499,11064.097,6691.042,5214.538,14716.555,14501.241,12554.707,11620.982,12486.092,21153.565,22181.854,23613.329,14837.623,7878.601
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,A,All instruments,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",CL,Chile,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:A:TO1:A:5J:A:CL:A:JP:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,17,25,39,48,40,32,24,30,12,25,41,18,11,95,64,44,41,17,45,20,79,53,10,74,44,23,27,65,18,25,23,22,42,19,18,38,51,120,19,31,44,104,21,33,21.078,18.273,108.164,59.474,59.246,74.96,44.915,46.955,24.624,85.717,19.209,171.875,182.74,117.959,125.4,141.614,100.703,29.492,126.626,40.042,55.865,89.667,92.777,123.075,133.284,172.541,196.964,111.091,132.287,152.372,214.741,110.589,47.841,72.525,55.178,45.868,104.017
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,A,All instruments,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",DE,Germany,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:A:TO1:A:5J:A:DE:A:JP:N,484,498,520,642,768,770,703,919,764,749,776,864,917,1538,1053,920,806,674,805,768,931,978,1231,1274,1216,1577,1655,1878,1957,2426,2377,2817,3735,3875,3737,3935,4306,5342,6129,6551,7243,6918,6372,8475,10159,9421,12988,15878,16941,15536,15135,17523,18241,19363,17645,16824,20319,17790,19861,18734,18628,20393,22484,19305,20064,18129,15620,17588,17455,18780,19415,24966,26117,27486,30791,30858,28229,29075,28663,22700,31319,26500,28897,29823,43112,26107,24434,25573,25556,26006,26548,25170,26880,25479,22341,23216,24874,27794,27870,29658,36250,33657,47007,48159,45064,50689,54834,56712,56319,38329,38259,42719,43945,31027,26910,23603,18786,18956,21400,19710,22666,28397,29843,33230,26221,20019,22534,24545,24578,22847,21890,28206,22427,19743,22852,18413,17127,15835,16809,16275,16895,13321,17358,14172,15138,16111,17778,13436,8946,11087,16615,20726,16330,21943,14220,13568,18409,21658,26486,20893,15387,17126,26263,18958,34083,24439,23253,15873,26638,26171,43087,48329,27412,24248,19811,21205,20733,20661,23558,21524,24445,20101
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,A,All instruments,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",DK,Denmark,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:A:TO1:A:5J:A:DK:A:JP:N,5,5,2,13,24,7,25,22,6,6,7,7,4,7,5,6,2,15,6,10,13,16,6,13,22,9,12,3,26,26,7,34,38,25,49,13,134,182,135,140,266,415,471,605,630,752,481,501,1147,828,606,985,949,945,718,768,502,424,530,689,434,784,365,510,456,668,432,398,722,548,1161,915,617,356,427,612,551,321,446,1135,1499,1966,620,2090,2214,1497,1209,946,488,2184,3105,2130,3778,3117,1780,917,79,85,25,15,14,18,-11,120,93,35,36,181,94,116,95,200,166,177,167,130,369,108,213,186,224,296,300,235,139,197,219,321,222,194,236,306,190,167,214,304,184,472,280.058,200.154,232.122,190.808,218.319,205.064,435.606,376.547,522.007,533.474,500.797,805.168,759.782,473.575,447.694,551.552,455.77,443.299,440.931,388.799,445.359,490.172,519.747,637.179,585.31,582.807,561.57,484.075,476.538,469.3,435.714,497.374,628.449,597.444,783.267,800.593,847.195,816.478,876.991,338.62,500.878,500.878,500.878,500.878
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,A,All instruments,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",ES,Spain,A,All sectors,JP,Japan,N,Cross-border,,,E,End of period,,,Q:S:C:A:TO1:A:5J:A:ES:A:JP:N,,,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,902.786,928.893,743.304,780.593,753.995,724.033,860.579,666.957,1249.463,655.76,608.897,452.491,517.58,645.949,749.259,428.978,557.925,642.159,368.542,502.993,574.248,2820.425,3554.707,4386.257,4486.392,4301.456,3965.73,6086.199,9432.681,8921.411,7199.076,6934.472,7109.131,6357.243,5862.267,4621.427,4786.953
